date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:01:02	262/262	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Jul%202025%2002:01:02%20GMT	http://www.wolai.com/location.href	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/www.wolai.com/location.href	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:03	16662/16662	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Jul%202025%2002:01:04%20GMT	https://www.wolai.com/location.href	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/www.wolai.com/location.href	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:03	19993/19993	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:55%20GMT	https://cdn.wostatic.cn/dist/javascript/runtime_app.cdf4709f.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/runtime_app.cdf4709f.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:03	217902/217902	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:48%20GMT	https://cdn.wostatic.cn/dist/javascript/8996.eded80de.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/8996.eded80de.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:03	35247/35247	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:46%20GMT	https://cdn.wostatic.cn/dist/javascript/2032.c1b2a80c.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/2032.c1b2a80c.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:04	247217/247217	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:48%20GMT	https://cdn.wostatic.cn/dist/javascript/6287.b81b5dbf.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/6287.b81b5dbf.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:04	2163364/2163364	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:50%20GMT	https://cdn.wostatic.cn/dist/javascript/1363.7ddecbc1.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/1363.7ddecbc1.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:04	55165/55165	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:46%20GMT	https://cdn.wostatic.cn/dist/javascript/3273.afb00682.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/3273.afb00682.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:05	14166/14166	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:46%20GMT	https://cdn.wostatic.cn/dist/javascript/4466.ad9361f6.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/4466.ad9361f6.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:05	9258/9258	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:46%20GMT	https://cdn.wostatic.cn/dist/javascript/3402.73514b92.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/3402.73514b92.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:05	2461697/2461697	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:46%20GMT	https://cdn.wostatic.cn/dist/javascript/1525.0c4e76be.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/1525.0c4e76be.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:06	58530/58530	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:47%20GMT	https://cdn.wostatic.cn/dist/javascript/5822.3f0fb82c.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/5822.3f0fb82c.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:06	2069780/2069780	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:50%20GMT	https://cdn.wostatic.cn/dist/javascript/7123.e6c58379.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/7123.e6c58379.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:06	49759/49759	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:46%20GMT	https://cdn.wostatic.cn/dist/javascript/2360.bf916f2b.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/2360.bf916f2b.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:06	39378/39378	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:48%20GMT	https://cdn.wostatic.cn/dist/javascript/6611.54712b42.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/6611.54712b42.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:07	21354/21354	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:47%20GMT	https://cdn.wostatic.cn/dist/javascript/635.edfa6405.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/635.edfa6405.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:07	1392484/1392484	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:53%20GMT	https://cdn.wostatic.cn/dist/javascript/app.1f3e4c79.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/javascript/app.1f3e4c79.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:07	63036/63036	---MCZ	200	added ('OK')	text/css	date:Sat,%2026%20Jul%202025%2007:46:45%20GMT	https://cdn.wostatic.cn/dist/css/7123.b4f0bdfe.css	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/css/7123.b4f0bdfe.css	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:08	83452/83452	---MCZ	200	added ('OK')	text/css	date:Sat,%2026%20Jul%202025%2007:46:45%20GMT	https://cdn.wostatic.cn/dist/css/app.99b392d6.css	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/dist/css/app.99b392d6.css	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:08	89145/89145	---M--	200	added ('OK')	image/gif	etag:%227B0ECF6A49AA07CFD590BDA53CA2EABA%22	https://cdn.wostatic.cn/wolai/loading.gif	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdn.wostatic.cn/wolai/loading.gif	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:09	262/262	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Jul%202025%2002:01:10%20GMT	http://www.wolai.com/sw.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/www.wolai.com/sw.20.delayed	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:10	11593/11593	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2007:46:38%20GMT	https://www.wolai.com/sw.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/www.wolai.com/sw.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:14	466050/466050	---M-Z	200	added ('OK')	application/javascript	etag:%226730caa0-1eea0%22	http://cdnjs.cloudflare.com/ajax/libs/eruda/3.4.1/eruda.min.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/cdnjs.cloudflare.com/ajax/libs/eruda/3.4.1/eruda.min.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:14	15539/15539	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2028%20Jul%202025%2002:01:11%20GMT	https://g.alicdn.com/alilog/mlog/aplus_v2.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/g.alicdn.com/alilog/mlog/aplus_v2.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:15	81178/81178	---MCZ	200	added ('OK')	application/javascript	etag:W/%22913162A4BDE5B06C66199C1236401010%22	https://o.alicdn.com/dingding/bird/index.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/o.alicdn.com/dingding/bird/index.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
10:01:15	13266/13266	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2028%20Jul%202025%2002:01:16%20GMT	https://g.alicdn.com/data-security-manager/web-watermark/1.0.30/index.js	D:/GitHubST/GraphicsResource/%e6%b8%b2%e6%9f%93/RTR4/g.alicdn.com/data-security-manager/web-watermark/1.0.30/index.js	(from https://www.wolai.com/fkGSwxLu2pjWD7kiBY1V7W)
